0) 3d:-1.80478 -4.20141 -8.94485      2d: 924.336 1287.84
339) 3d:4.02515 -0.00789081 -8.37952      2d: 252.976 823.38
340) 3d:4.58985 -0.142605 -8.24084      2d: 179.193 839.634
341) 3d:4.21059 0.551702 -8.19543      2d: 222.557 755.553
342) 3d:4.02356 1.81961 -8.04942      2d: 238.442 598.706
343) 3d:1.64233 -4.08034 -10.1806      2d: 549.033 1220.22
344) 3d:3.19098 -0.268891 -8.87801      2d: 366.046 851.89
345) 3d:4.26055 -0.531727 -8.34068      2d: 223.417 885.302
346) 3d:4.57212 -0.760468 -8.31643      2d: 185.221 912.868
347) 3d:4.35562 -0.517317 -8.37262      2d: 213.638 883.344
348) 3d:3.70635 2.03174 -8.12283      2d: 280.363 574.784
349) 3d:3.87732 -4.075 -8.70049      2d: 283.258 1286.48
350) 3d:4.38844 2.14826 -7.91904      2d: 186.818 553.961
351) 3d:3.45456 -2.31532 -8.95345      2d: 339.174 1078.42
352) 3d:3.87083 -3.23514 -9.09616      2d: 298.062 1174.68
353) 3d:3.58066 -4.22796 -9.1124      2d: 330.38 1282.8
354) 3d:4.1707 0.625406 -8.23183      2d: 229.05 747.06
355) 3d:2.76895 -4.09628 -10.2485      2d: 440.093 1219.56
356) 3d:4.7865 0.326781 -8.15312      2d: 150.704 782.69
357) 3d:1.30718 -3.96271 -12.1449      2d: 586.536 1147.35
358) 3d:0.644507 -3.80128 -14.1867      2d: 636.618 1090.09
359) 3d:3.31283 -0.846547 -8.85896      2d: 351.975 916.703
360) 3d:4.03275 -4.0666 -8.80083      2d: 269.475 1280.72
361) 3d:-0.0190348 -4.04863 -9.78459      2d: 715.596 1233.02
362) 3d:4.53205 1.61002 -8.05569      2d: 176.355 624.555
363) 3d:4.34595 -0.534142 -8.31022      2d: 211.836 885.885
364) 3d:4.60934 -2.35121 -8.46381      2d: 188.301 1097.72
365) 3d:4.55417 1.89836 -7.96686      2d: 168.802 586.743
366) 3d:3.7322 -2.6658 -8.76701      2d: 302.075 1123.88
367) 3d:3.28022 -0.388527 -8.79544      2d: 353.736 865.924
368) 3d:1.04239 -3.98762 -12.2202      2d: 608.265 1147.19
369) 3d:-0.886984 -3.97164 -10.1289      2d: 797.431 1211.62
370) 3d:3.69902 -0.387952 -8.56139      2d: 298.28 866.919
371) 3d:3.18394 2.0241 -8.3948      2d: 352.538 583.58
372) 3d:4.407 -1.84383 -8.50039      2d: 213.646 1036.9
373) 3d:3.87135 -3.80923 -8.89464      2d: 291.061 1247.3
374) 3d:4.0417 -0.00433217 -8.35325      2d: 249.894 822.769
375) 3d:4.59727 0.406101 -8.16534      2d: 174.303 772.998
376) 3d:4.14513 -0.268843 -8.30558      2d: 235.53 854.157
377) 3d:4.40195 -0.736367 -8.41857      2d: 210.354 908.816
378) 3d:3.14074 0.70636 -8.77995      2d: 368.853 742.161
379) 3d:3.23661 -0.51761 -8.94088      2d: 362.747 879.623
380) 3d:3.805 -3.37511 -8.849      2d: 296.821 1200.67
381) 3d:1.81965 0.635093 -8.96999      2d: 519.975 751.743
382) 3d:4.1962 2.08014 -7.977      2d: 213.678 565.041
383) 3d:3.87802 0.238928 -8.36097      2d: 269.581 793.942
384) 3d:-1.08865 -3.34562 -15.6821      2d: 744.368 1036.26
385) 3d:3.6879 1.90087 -8.27606      2d: 288.647 595.001
386) 3d:3.67137 2.03739 -8.15971      2d: 286.081 575.128
387) 3d:3.42882 2.1132 -8.27364      2d: 319.496 569.442
388) 3d:4.80102 0.322872 -8.15827      2d: 149.232 783.202
389) 3d:4.68911 1.87983 -7.93392      2d: 150.184 588.127
390) 3d:4.44811 0.182417 -8.22911      2d: 195.601 800.282
391) 3d:4.65447 -2.42993 -8.45221      2d: 182.399 1106.79
392) 3d:3.03925 1.58933 -8.66121      2d: 377.028 640.469
393) 3d:4.56935 1.88914 -7.9492      2d: 165.942 587.218
